company,industry,selected_year,primary_selected_text,source_status,selection_logic
Shell,Oil & gas / energy,2020,Shell Annual Report and Accounts 2020,Official Shell annual-report PDF downloaded and extracted; contains Chair message and CEO review,"COVID, dividend reset, and energy transition: crisis plus strategic renewal under pressure."
Shell,Oil & gas / energy,2022,Shell Annual Report and Accounts 2022,Official Shell annual-report PDF downloaded and extracted; contains Chair message and CEO review,"Shell plc and energy-security shock: governance/identity shift, Russia shock, CEO transition context."
Shell,Oil & gas / energy,2024,Shell Annual Report and Accounts 2024,Official Shell annual-report PDF downloaded and extracted; contains Chair message and CEO review,Capital discipline and transition pragmatism under Wael Sawan: mature reinvention and investor pressure.
Shell,Oil & gas / energy,2025,Shell Annual Report and Accounts 2025,Official Shell annual-report PDF downloaded and extracted; contains Chair message and CEO review,"Latest Sawan-era execution: capital discipline, LNG/core strengths, transition pragmatism, shareholder returns."
Chevron,Oil & gas / energy,2013,Chevron 2013 Annual Report,Official Chevron annual-report PDF downloaded and extracted; contains stockholder-letter and John Watson CEO/chair markers,"Pre-Wirth incumbent baseline: mega-projects, shale-era positioning, capital discipline."
Chevron,Oil & gas / energy,2018,Chevron 2018 Annual Report,Official Chevron annual-report PDF downloaded and extracted; contains To our stockholders and Michael Wirth markers,"Mike Wirth CEO era begins: returns, Permian/LNG portfolio framing, disciplined execution."
Chevron,Oil & gas / energy,2020,Chevron 2020 Annual Report,Official Chevron annual-report PDF downloaded and extracted; contains To our stockholders and Michael Wirth markers,COVID downturn plus Noble Energy acquisition: resilience and countercyclical portfolio option.
Chevron,Oil & gas / energy,2021,Chevron 2021 Annual Report,Official Chevron annual-report PDF downloaded and extracted; contains To our stockholders and Michael Wirth markers,"Recovery and post-Noble integration: disciplined growth, balance-sheet resilience, lower-carbon options."
Chevron,Oil & gas / energy,2022,Chevron 2022 Annual Report,Official Chevron annual-report PDF downloaded and extracted; contains To our stockholders and Michael Wirth markers,"Energy security and capital discipline: high-price cycle, cash returns, lower-carbon positioning."
Chevron,Oil & gas / energy,2023,Chevron 2023 Annual Report,Official Chevron annual-report PDF downloaded and extracted; contains To our stockholders and Michael Wirth markers,"Hess transaction announced: portfolio option value, Guyana exposure, long-cycle strategic renewal."
Chevron,Oil & gas / energy,2024,Chevron 2024 Annual Report,Official Chevron annual-report PDF downloaded and extracted; contains To our stockholders and Michael Wirth markers,"Mature core-growth plus lower-carbon/new-business comparison: execution, returns, technology, power demand."
