company,year,theme,subtheme,keyword,count
Amazon,2025,Strategic Leadership,Founder/ownership mentality,ownership,0
Chevron,2013,Strategic Leadership,Founder/ownership mentality,ownership,0
Chevron,2018,Strategic Leadership,Founder/ownership mentality,ownership,0
Chevron,2020,Strategic Leadership,Founder/ownership mentality,ownership,0
Chevron,2021,Strategic Leadership,Founder/ownership mentality,ownership,0
Chevron,2022,Strategic Leadership,Founder/ownership mentality,ownership,0
Chevron,2023,Strategic Leadership,Founder/ownership mentality,ownership,0
Chevron,2024,Strategic Leadership,Founder/ownership mentality,ownership,0
Nvidia,2017,Strategic Leadership,Founder/ownership mentality,ownership,0
Nvidia,2018,Strategic Leadership,Founder/ownership mentality,ownership,0
Nvidia,2020,Strategic Leadership,Founder/ownership mentality,ownership,0
Nvidia,2021,Strategic Leadership,Founder/ownership mentality,ownership,0
Nvidia,2022,Strategic Leadership,Founder/ownership mentality,ownership,0
Nvidia,2023,Strategic Leadership,Founder/ownership mentality,ownership,0
Nvidia,2025,Strategic Leadership,Founder/ownership mentality,ownership,0
Shell,2014,Strategic Leadership,Founder/ownership mentality,ownership,0
Shell,2015,Strategic Leadership,Founder/ownership mentality,ownership,0
Shell,2016,Strategic Leadership,Founder/ownership mentality,ownership,0
Shell,2020,Strategic Leadership,Founder/ownership mentality,ownership,0
Shell,2022,Strategic Leadership,Founder/ownership mentality,ownership,0
Shell,2024,Strategic Leadership,Founder/ownership mentality,ownership,0
Shell,2025,Strategic Leadership,Founder/ownership mentality,ownership,0
Amazon,1997,Strategic Leadership,Founder/ownership mentality,owner [owners],1
Amazon,2016,Strategic Leadership,Founder/ownership mentality,owner [owners],1
Amazon,2020,Strategic Leadership,Founder/ownership mentality,owner [owners],3
Amazon,2021,Strategic Leadership,Founder/ownership mentality,owner [owners],0
Amazon,2022,Strategic Leadership,Founder/ownership mentality,owner [owners],0
Amazon,2024,Strategic Leadership,Founder/ownership mentality,owner [owners],5
Amazon,2025,Strategic Leadership,Founder/ownership mentality,owner [owners],1
Chevron,2013,Strategic Leadership,Founder/ownership mentality,owner [owners],0
Chevron,2018,Strategic Leadership,Founder/ownership mentality,owner [owners],0
Chevron,2020,Strategic Leadership,Founder/ownership mentality,owner [owners],0
Chevron,2021,Strategic Leadership,Founder/ownership mentality,owner [owners],0
Chevron,2022,Strategic Leadership,Founder/ownership mentality,owner [owners],0
Chevron,2023,Strategic Leadership,Founder/ownership mentality,owner [owners],0
Chevron,2024,Strategic Leadership,Founder/ownership mentality,owner [owners],0
Nvidia,2017,Strategic Leadership,Founder/ownership mentality,owner [owners],0
Nvidia,2018,Strategic Leadership,Founder/ownership mentality,owner [owners],0
Nvidia,2020,Strategic Leadership,Founder/ownership mentality,owner [owners],0
Nvidia,2021,Strategic Leadership,Founder/ownership mentality,owner [owners],0
Nvidia,2022,Strategic Leadership,Founder/ownership mentality,owner [owners],0
Nvidia,2023,Strategic Leadership,Founder/ownership mentality,owner [owners],0
Nvidia,2025,Strategic Leadership,Founder/ownership mentality,owner [owners],0
Shell,2014,Strategic Leadership,Founder/ownership mentality,owner [owners],0
Shell,2015,Strategic Leadership,Founder/ownership mentality,owner [owners],0
Shell,2016,Strategic Leadership,Founder/ownership mentality,owner [owners],0
Shell,2020,Strategic Leadership,Founder/ownership mentality,owner [owners],0
Shell,2022,Strategic Leadership,Founder/ownership mentality,owner [owners],0
Shell,2024,Strategic Leadership,Founder/ownership mentality,owner [owners],0
Shell,2025,Strategic Leadership,Founder/ownership mentality,owner [owners],0
Amazon,1997,Strategic Leadership,Founder/ownership mentality,day 1,1
Amazon,2016,Strategic Leadership,Founder/ownership mentality,day 1,9
Amazon,2020,Strategic Leadership,Founder/ownership mentality,day 1,2
Amazon,2021,Strategic Leadership,Founder/ownership mentality,day 1,1
Amazon,2022,Strategic Leadership,Founder/ownership mentality,day 1,0
Amazon,2024,Strategic Leadership,Founder/ownership mentality,day 1,0
Amazon,2025,Strategic Leadership,Founder/ownership mentality,day 1,0
Chevron,2013,Strategic Leadership,Founder/ownership mentality,day 1,0
Chevron,2018,Strategic Leadership,Founder/ownership mentality,day 1,0
Chevron,2020,Strategic Leadership,Founder/ownership mentality,day 1,0
Chevron,2021,Strategic Leadership,Founder/ownership mentality,day 1,0
Chevron,2022,Strategic Leadership,Founder/ownership mentality,day 1,0
Chevron,2023,Strategic Leadership,Founder/ownership mentality,day 1,0
Chevron,2024,Strategic Leadership,Founder/ownership mentality,day 1,0
Nvidia,2017,Strategic Leadership,Founder/ownership mentality,day 1,0
Nvidia,2018,Strategic Leadership,Founder/ownership mentality,day 1,0
Nvidia,2020,Strategic Leadership,Founder/ownership mentality,day 1,0
Nvidia,2021,Strategic Leadership,Founder/ownership mentality,day 1,0
Nvidia,2022,Strategic Leadership,Founder/ownership mentality,day 1,0
Nvidia,2023,Strategic Leadership,Founder/ownership mentality,day 1,0
Nvidia,2025,Strategic Leadership,Founder/ownership mentality,day 1,0
Shell,2014,Strategic Leadership,Founder/ownership mentality,day 1,0
Shell,2015,Strategic Leadership,Founder/ownership mentality,day 1,0
Shell,2016,Strategic Leadership,Founder/ownership mentality,day 1,0
Shell,2020,Strategic Leadership,Founder/ownership mentality,day 1,0
Shell,2022,Strategic Leadership,Founder/ownership mentality,day 1,0
Shell,2024,Strategic Leadership,Founder/ownership mentality,day 1,0
Shell,2025,Strategic Leadership,Founder/ownership mentality,day 1,0
Amazon,1997,Strategic Leadership,Founder/ownership mentality,day one,0
Amazon,2016,Strategic Leadership,Founder/ownership mentality,day one,0
Amazon,2020,Strategic Leadership,Founder/ownership mentality,day one,0
Amazon,2021,Strategic Leadership,Founder/ownership mentality,day one,0
Amazon,2022,Strategic Leadership,Founder/ownership mentality,day one,0
Amazon,2024,Strategic Leadership,Founder/ownership mentality,day one,1
Amazon,2025,Strategic Leadership,Founder/ownership mentality,day one,0
Chevron,2013,Strategic Leadership,Founder/ownership mentality,day one,0
Chevron,2018,Strategic Leadership,Founder/ownership mentality,day one,0
Chevron,2020,Strategic Leadership,Founder/ownership mentality,day one,0
Chevron,2021,Strategic Leadership,Founder/ownership mentality,day one,0
Chevron,2022,Strategic Leadership,Founder/ownership mentality,day one,0
Chevron,2023,Strategic Leadership,Founder/ownership mentality,day one,0
Chevron,2024,Strategic Leadership,Founder/ownership mentality,day one,0
Nvidia,2017,Strategic Leadership,Founder/ownership mentality,day one,0
Nvidia,2018,Strategic Leadership,Founder/ownership mentality,day one,0
Nvidia,2020,Strategic Leadership,Founder/ownership mentality,day one,0
Nvidia,2021,Strategic Leadership,Founder/ownership mentality,day one,0
Nvidia,2022,Strategic Leadership,Founder/ownership mentality,day one,0
Nvidia,2023,Strategic Leadership,Founder/ownership mentality,day one,0
Nvidia,2025,Strategic Leadership,Founder/ownership mentality,day one,0
Shell,2014,Strategic Leadership,Founder/ownership mentality,day one,0
Shell,2015,Strategic Leadership,Founder/ownership mentality,day one,0
Shell,2016,Strategic Leadership,Founder/ownership mentality,day one,0
Shell,2020,Strategic Leadership,Founder/ownership mentality,day one,0
Shell,2022,Strategic Leadership,Founder/ownership mentality,day one,0
Shell,2024,Strategic Leadership,Founder/ownership mentality,day one,0
Shell,2025,Strategic Leadership,Founder/ownership mentality,day one,0
Amazon,1997,Strategic Leadership,Founder/ownership mentality,builder [builders],0
Amazon,2016,Strategic Leadership,Founder/ownership mentality,builder [builders],0
Amazon,2020,Strategic Leadership,Founder/ownership mentality,builder [builders],0
Amazon,2021,Strategic Leadership,Founder/ownership mentality,builder [builders],6
Amazon,2022,Strategic Leadership,Founder/ownership mentality,builder [builders],0
Amazon,2024,Strategic Leadership,Founder/ownership mentality,builder [builders],6
Amazon,2025,Strategic Leadership,Founder/ownership mentality,builder [builders],0
Chevron,2013,Strategic Leadership,Founder/ownership mentality,builder [builders],0
Chevron,2018,Strategic Leadership,Founder/ownership mentality,builder [builders],0
Chevron,2020,Strategic Leadership,Founder/ownership mentality,builder [builders],0
Chevron,2021,Strategic Leadership,Founder/ownership mentality,builder [builders],0
Chevron,2022,Strategic Leadership,Founder/ownership mentality,builder [builders],0
Chevron,2023,Strategic Leadership,Founder/ownership mentality,builder [builders],0
Chevron,2024,Strategic Leadership,Founder/ownership mentality,builder [builders],0
Nvidia,2017,Strategic Leadership,Founder/ownership mentality,builder [builders],0
Nvidia,2018,Strategic Leadership,Founder/ownership mentality,builder [builders],0
Nvidia,2020,Strategic Leadership,Founder/ownership mentality,builder [builders],0
Nvidia,2021,Strategic Leadership,Founder/ownership mentality,builder [builders],0
Nvidia,2022,Strategic Leadership,Founder/ownership mentality,builder [builders],0
Nvidia,2023,Strategic Leadership,Founder/ownership mentality,builder [builders],0
Nvidia,2025,Strategic Leadership,Founder/ownership mentality,builder [builders],1
Shell,2014,Strategic Leadership,Founder/ownership mentality,builder [builders],0
Shell,2015,Strategic Leadership,Founder/ownership mentality,builder [builders],0
Shell,2016,Strategic Leadership,Founder/ownership mentality,builder [builders],0
Shell,2020,Strategic Leadership,Founder/ownership mentality,builder [builders],0
Shell,2022,Strategic Leadership,Founder/ownership mentality,builder [builders],0
Shell,2024,Strategic Leadership,Founder/ownership mentality,builder [builders],0
Shell,2025,Strategic Leadership,Founder/ownership mentality,builder [builders],0
Amazon,1997,Strategic Leadership,Ambidexterity/tension,tension [tensions],0
Amazon,2016,Strategic Leadership,Ambidexterity/tension,tension [tensions],0
Amazon,2020,Strategic Leadership,Ambidexterity/tension,tension [tensions],0
Amazon,2021,Strategic Leadership,Ambidexterity/tension,tension [tensions],1
Amazon,2022,Strategic Leadership,Ambidexterity/tension,tension [tensions],0
Amazon,2024,Strategic Leadership,Ambidexterity/tension,tension [tensions],0
Amazon,2025,Strategic Leadership,Ambidexterity/tension,tension [tensions],0
Chevron,2013,Strategic Leadership,Ambidexterity/tension,tension [tensions],0
Chevron,2018,Strategic Leadership,Ambidexterity/tension,tension [tensions],2
Chevron,2020,Strategic Leadership,Ambidexterity/tension,tension [tensions],0
Chevron,2021,Strategic Leadership,Ambidexterity/tension,tension [tensions],0
Chevron,2022,Strategic Leadership,Ambidexterity/tension,tension [tensions],0
Chevron,2023,Strategic Leadership,Ambidexterity/tension,tension [tensions],0
Chevron,2024,Strategic Leadership,Ambidexterity/tension,tension [tensions],0
Nvidia,2017,Strategic Leadership,Ambidexterity/tension,tension [tensions],0
Nvidia,2018,Strategic Leadership,Ambidexterity/tension,tension [tensions],0
Nvidia,2020,Strategic Leadership,Ambidexterity/tension,tension [tensions],0
Nvidia,2021,Strategic Leadership,Ambidexterity/tension,tension [tensions],0
Nvidia,2022,Strategic Leadership,Ambidexterity/tension,tension [tensions],0
Nvidia,2023,Strategic Leadership,Ambidexterity/tension,tension [tensions],1
Nvidia,2025,Strategic Leadership,Ambidexterity/tension,tension [tensions],0
Shell,2014,Strategic Leadership,Ambidexterity/tension,tension [tensions],0
Shell,2015,Strategic Leadership,Ambidexterity/tension,tension [tensions],0
Shell,2016,Strategic Leadership,Ambidexterity/tension,tension [tensions],0
Shell,2020,Strategic Leadership,Ambidexterity/tension,tension [tensions],0
Shell,2022,Strategic Leadership,Ambidexterity/tension,tension [tensions],0
Shell,2024,Strategic Leadership,Ambidexterity/tension,tension [tensions],0
Shell,2025,Strategic Leadership,Ambidexterity/tension,tension [tensions],0
Amazon,1997,Strategic Leadership,Ambidexterity/tension,both,1
Amazon,2016,Strategic Leadership,Ambidexterity/tension,both,0
Amazon,2020,Strategic Leadership,Ambidexterity/tension,both,2
Amazon,2021,Strategic Leadership,Ambidexterity/tension,both,3
Amazon,2022,Strategic Leadership,Ambidexterity/tension,both,2
Amazon,2024,Strategic Leadership,Ambidexterity/tension,both,3
Amazon,2025,Strategic Leadership,Ambidexterity/tension,both,3
Chevron,2013,Strategic Leadership,Ambidexterity/tension,both,1
Chevron,2018,Strategic Leadership,Ambidexterity/tension,both,0
Chevron,2020,Strategic Leadership,Ambidexterity/tension,both,2
Chevron,2021,Strategic Leadership,Ambidexterity/tension,both,1
Chevron,2022,Strategic Leadership,Ambidexterity/tension,both,2
Chevron,2023,Strategic Leadership,Ambidexterity/tension,both,1
Chevron,2024,Strategic Leadership,Ambidexterity/tension,both,1
Nvidia,2017,Strategic Leadership,Ambidexterity/tension,both,0
Nvidia,2018,Strategic Leadership,Ambidexterity/tension,both,0
Nvidia,2020,Strategic Leadership,Ambidexterity/tension,both,0
Nvidia,2021,Strategic Leadership,Ambidexterity/tension,both,0
Nvidia,2022,Strategic Leadership,Ambidexterity/tension,both,0
Nvidia,2023,Strategic Leadership,Ambidexterity/tension,both,1
Nvidia,2025,Strategic Leadership,Ambidexterity/tension,both,1
Shell,2014,Strategic Leadership,Ambidexterity/tension,both,0
Shell,2015,Strategic Leadership,Ambidexterity/tension,both,0
Shell,2016,Strategic Leadership,Ambidexterity/tension,both,0
Shell,2020,Strategic Leadership,Ambidexterity/tension,both,1
Shell,2022,Strategic Leadership,Ambidexterity/tension,both,2
Shell,2024,Strategic Leadership,Ambidexterity/tension,both,0
Shell,2025,Strategic Leadership,Ambidexterity/tension,both,1
Amazon,1997,Strategic Leadership,Boldness/discipline,"bold [boldly, boldness]",3
Amazon,2016,Strategic Leadership,Boldness/discipline,"bold [boldly, boldness]",0
Amazon,2020,Strategic Leadership,Boldness/discipline,"bold [boldly, boldness]",0
Amazon,2021,Strategic Leadership,Boldness/discipline,"bold [boldly, boldness]",0
Amazon,2022,Strategic Leadership,Boldness/discipline,"bold [boldly, boldness]",0
Amazon,2024,Strategic Leadership,Boldness/discipline,"bold [boldly, boldness]",0
Amazon,2025,Strategic Leadership,Boldness/discipline,"bold [boldly, boldness]",1
Chevron,2013,Strategic Leadership,Boldness/discipline,"bold [boldly, boldness]",0
Chevron,2018,Strategic Leadership,Boldness/discipline,"bold [boldly, boldness]",0
Chevron,2020,Strategic Leadership,Boldness/discipline,"bold [boldly, boldness]",0
Chevron,2021,Strategic Leadership,Boldness/discipline,"bold [boldly, boldness]",0
Chevron,2022,Strategic Leadership,Boldness/discipline,"bold [boldly, boldness]",0
Chevron,2023,Strategic Leadership,Boldness/discipline,"bold [boldly, boldness]",0
Chevron,2024,Strategic Leadership,Boldness/discipline,"bold [boldly, boldness]",0
Nvidia,2017,Strategic Leadership,Boldness/discipline,"bold [boldly, boldness]",0
Nvidia,2018,Strategic Leadership,Boldness/discipline,"bold [boldly, boldness]",0
Nvidia,2020,Strategic Leadership,Boldness/discipline,"bold [boldly, boldness]",0
Nvidia,2021,Strategic Leadership,Boldness/discipline,"bold [boldly, boldness]",0
Nvidia,2022,Strategic Leadership,Boldness/discipline,"bold [boldly, boldness]",0
Nvidia,2023,Strategic Leadership,Boldness/discipline,"bold [boldly, boldness]",0
Nvidia,2025,Strategic Leadership,Boldness/discipline,"bold [boldly, boldness]",0
Shell,2014,Strategic Leadership,Boldness/discipline,"bold [boldly, boldness]",0
Shell,2015,Strategic Leadership,Boldness/discipline,"bold [boldly, boldness]",0
Shell,2016,Strategic Leadership,Boldness/discipline,"bold [boldly, boldness]",0
Shell,2020,Strategic Leadership,Boldness/discipline,"bold [boldly, boldness]",0
Shell,2022,Strategic Leadership,Boldness/discipline,"bold [boldly, boldness]",0
Shell,2024,Strategic Leadership,Boldness/discipline,"bold [boldly, boldness]",0
Shell,2025,Strategic Leadership,Boldness/discipline,"bold [boldly, boldness]",0
Amazon,1997,Strategic Leadership,Boldness/discipline,"disciplined [discipline, disciplines]",0
Amazon,2016,Strategic Leadership,Boldness/discipline,"disciplined [discipline, disciplines]",0
Amazon,2020,Strategic Leadership,Boldness/discipline,"disciplined [discipline, disciplines]",0
Amazon,2021,Strategic Leadership,Boldness/discipline,"disciplined [discipline, disciplines]",0
Amazon,2022,Strategic Leadership,Boldness/discipline,"disciplined [discipline, disciplines]",0
Amazon,2024,Strategic Leadership,Boldness/discipline,"disciplined [discipline, disciplines]",0
Amazon,2025,Strategic Leadership,Boldness/discipline,"disciplined [discipline, disciplines]",0
Chevron,2013,Strategic Leadership,Boldness/discipline,"disciplined [discipline, disciplines]",0
Chevron,2018,Strategic Leadership,Boldness/discipline,"disciplined [discipline, disciplines]",2
Chevron,2020,Strategic Leadership,Boldness/discipline,"disciplined [discipline, disciplines]",3
Chevron,2021,Strategic Leadership,Boldness/discipline,"disciplined [discipline, disciplines]",3
Chevron,2022,Strategic Leadership,Boldness/discipline,"disciplined [discipline, disciplines]",1
Chevron,2023,Strategic Leadership,Boldness/discipline,"disciplined [discipline, disciplines]",0
Chevron,2024,Strategic Leadership,Boldness/discipline,"disciplined [discipline, disciplines]",1
Nvidia,2017,Strategic Leadership,Boldness/discipline,"disciplined [discipline, disciplines]",0
Nvidia,2018,Strategic Leadership,Boldness/discipline,"disciplined [discipline, disciplines]",0
Nvidia,2020,Strategic Leadership,Boldness/discipline,"disciplined [discipline, disciplines]",0
Nvidia,2021,Strategic Leadership,Boldness/discipline,"disciplined [discipline, disciplines]",0
Nvidia,2022,Strategic Leadership,Boldness/discipline,"disciplined [discipline, disciplines]",0
Nvidia,2023,Strategic Leadership,Boldness/discipline,"disciplined [discipline, disciplines]",0
Nvidia,2025,Strategic Leadership,Boldness/discipline,"disciplined [discipline, disciplines]",2
Shell,2014,Strategic Leadership,Boldness/discipline,"disciplined [discipline, disciplines]",1
Shell,2015,Strategic Leadership,Boldness/discipline,"disciplined [discipline, disciplines]",0
Shell,2016,Strategic Leadership,Boldness/discipline,"disciplined [discipline, disciplines]",2
Shell,2020,Strategic Leadership,Boldness/discipline,"disciplined [discipline, disciplines]",2
Shell,2022,Strategic Leadership,Boldness/discipline,"disciplined [discipline, disciplines]",4
Shell,2024,Strategic Leadership,Boldness/discipline,"disciplined [discipline, disciplines]",3
Shell,2025,Strategic Leadership,Boldness/discipline,"disciplined [discipline, disciplines]",2
Amazon,1997,Strategic Leadership,Boldness/discipline,conviction [convictions],0
Amazon,2016,Strategic Leadership,Boldness/discipline,conviction [convictions],1
Amazon,2020,Strategic Leadership,Boldness/discipline,conviction [convictions],0
Amazon,2021,Strategic Leadership,Boldness/discipline,conviction [convictions],0
Amazon,2022,Strategic Leadership,Boldness/discipline,conviction [convictions],1
Amazon,2024,Strategic Leadership,Boldness/discipline,conviction [convictions],1
Amazon,2025,Strategic Leadership,Boldness/discipline,conviction [convictions],2
Chevron,2013,Strategic Leadership,Boldness/discipline,conviction [convictions],0
Chevron,2018,Strategic Leadership,Boldness/discipline,conviction [convictions],0
Chevron,2020,Strategic Leadership,Boldness/discipline,conviction [convictions],0
Chevron,2021,Strategic Leadership,Boldness/discipline,conviction [convictions],0
Chevron,2022,Strategic Leadership,Boldness/discipline,conviction [convictions],0
Chevron,2023,Strategic Leadership,Boldness/discipline,conviction [convictions],0
Chevron,2024,Strategic Leadership,Boldness/discipline,conviction [convictions],0
Nvidia,2017,Strategic Leadership,Boldness/discipline,conviction [convictions],0
Nvidia,2018,Strategic Leadership,Boldness/discipline,conviction [convictions],0
Nvidia,2020,Strategic Leadership,Boldness/discipline,conviction [convictions],0
Nvidia,2021,Strategic Leadership,Boldness/discipline,conviction [convictions],0
Nvidia,2022,Strategic Leadership,Boldness/discipline,conviction [convictions],0
Nvidia,2023,Strategic Leadership,Boldness/discipline,conviction [convictions],0
Nvidia,2025,Strategic Leadership,Boldness/discipline,conviction [convictions],0
Shell,2014,Strategic Leadership,Boldness/discipline,conviction [convictions],0
Shell,2015,Strategic Leadership,Boldness/discipline,conviction [convictions],0
Shell,2016,Strategic Leadership,Boldness/discipline,conviction [convictions],1
Shell,2020,Strategic Leadership,Boldness/discipline,conviction [convictions],0
Shell,2022,Strategic Leadership,Boldness/discipline,conviction [convictions],0
Shell,2024,Strategic Leadership,Boldness/discipline,conviction [convictions],1
Shell,2025,Strategic Leadership,Boldness/discipline,conviction [convictions],0
Amazon,1997,Strategic Leadership,Boldness/discipline,"decisive [decisiveness, decisively] !decision, decisions",0
Amazon,2016,Strategic Leadership,Boldness/discipline,"decisive [decisiveness, decisively] !decision, decisions",0
Amazon,2020,Strategic Leadership,Boldness/discipline,"decisive [decisiveness, decisively] !decision, decisions",1
Amazon,2021,Strategic Leadership,Boldness/discipline,"decisive [decisiveness, decisively] !decision, decisions",0
Amazon,2022,Strategic Leadership,Boldness/discipline,"decisive [decisiveness, decisively] !decision, decisions",0
Amazon,2024,Strategic Leadership,Boldness/discipline,"decisive [decisiveness, decisively] !decision, decisions",0
Amazon,2025,Strategic Leadership,Boldness/discipline,"decisive [decisiveness, decisively] !decision, decisions",0
Chevron,2013,Strategic Leadership,Boldness/discipline,"decisive [decisiveness, decisively] !decision, decisions",0
Chevron,2018,Strategic Leadership,Boldness/discipline,"decisive [decisiveness, decisively] !decision, decisions",0
Chevron,2020,Strategic Leadership,Boldness/discipline,"decisive [decisiveness, decisively] !decision, decisions",0
Chevron,2021,Strategic Leadership,Boldness/discipline,"decisive [decisiveness, decisively] !decision, decisions",0
Chevron,2022,Strategic Leadership,Boldness/discipline,"decisive [decisiveness, decisively] !decision, decisions",0
Chevron,2023,Strategic Leadership,Boldness/discipline,"decisive [decisiveness, decisively] !decision, decisions",0
Chevron,2024,Strategic Leadership,Boldness/discipline,"decisive [decisiveness, decisively] !decision, decisions",0
Nvidia,2017,Strategic Leadership,Boldness/discipline,"decisive [decisiveness, decisively] !decision, decisions",0
Nvidia,2018,Strategic Leadership,Boldness/discipline,"decisive [decisiveness, decisively] !decision, decisions",0
Nvidia,2020,Strategic Leadership,Boldness/discipline,"decisive [decisiveness, decisively] !decision, decisions",0
Nvidia,2021,Strategic Leadership,Boldness/discipline,"decisive [decisiveness, decisively] !decision, decisions",0
Nvidia,2022,Strategic Leadership,Boldness/discipline,"decisive [decisiveness, decisively] !decision, decisions",0
Nvidia,2023,Strategic Leadership,Boldness/discipline,"decisive [decisiveness, decisively] !decision, decisions",0
Nvidia,2025,Strategic Leadership,Boldness/discipline,"decisive [decisiveness, decisively] !decision, decisions",1
Shell,2014,Strategic Leadership,Boldness/discipline,"decisive [decisiveness, decisively] !decision, decisions",0
Shell,2015,Strategic Leadership,Boldness/discipline,"decisive [decisiveness, decisively] !decision, decisions",0
Shell,2016,Strategic Leadership,Boldness/discipline,"decisive [decisiveness, decisively] !decision, decisions",0
Shell,2020,Strategic Leadership,Boldness/discipline,"decisive [decisiveness, decisively] !decision, decisions",1
Shell,2022,Strategic Leadership,Boldness/discipline,"decisive [decisiveness, decisively] !decision, decisions",0
Shell,2024,Strategic Leadership,Boldness/discipline,"decisive [decisiveness, decisively] !decision, decisions",0
Shell,2025,Strategic Leadership,Boldness/discipline,"decisive [decisiveness, decisively] !decision, decisions",0
Amazon,1997,Strategic Leadership,Boldness/discipline,high standards,0
Amazon,2016,Strategic Leadership,Boldness/discipline,high standards,0
Amazon,2020,Strategic Leadership,Boldness/discipline,high standards,1
Amazon,2021,Strategic Leadership,Boldness/discipline,high standards,0
Amazon,2022,Strategic Leadership,Boldness/discipline,high standards,0
Amazon,2024,Strategic Leadership,Boldness/discipline,high standards,2
Amazon,2025,Strategic Leadership,Boldness/discipline,high standards,0
Chevron,2013,Strategic Leadership,Boldness/discipline,high standards,0
Chevron,2018,Strategic Leadership,Boldness/discipline,high standards,0
Chevron,2020,Strategic Leadership,Boldness/discipline,high standards,0
Chevron,2021,Strategic Leadership,Boldness/discipline,high standards,0
Chevron,2022,Strategic Leadership,Boldness/discipline,high standards,0
Chevron,2023,Strategic Leadership,Boldness/discipline,high standards,0
Chevron,2024,Strategic Leadership,Boldness/discipline,high standards,0
Nvidia,2017,Strategic Leadership,Boldness/discipline,high standards,0
Nvidia,2018,Strategic Leadership,Boldness/discipline,high standards,0
Nvidia,2020,Strategic Leadership,Boldness/discipline,high standards,0
Nvidia,2021,Strategic Leadership,Boldness/discipline,high standards,0
Nvidia,2022,Strategic Leadership,Boldness/discipline,high standards,0
Nvidia,2023,Strategic Leadership,Boldness/discipline,high standards,0
Nvidia,2025,Strategic Leadership,Boldness/discipline,high standards,0
Shell,2014,Strategic Leadership,Boldness/discipline,high standards,0
Shell,2015,Strategic Leadership,Boldness/discipline,high standards,0
Shell,2016,Strategic Leadership,Boldness/discipline,high standards,0
Shell,2020,Strategic Leadership,Boldness/discipline,high standards,0
Shell,2022,Strategic Leadership,Boldness/discipline,high standards,0
Shell,2024,Strategic Leadership,Boldness/discipline,high standards,0
Shell,2025,Strategic Leadership,Boldness/discipline,high standards,0
Amazon,1997,Strategic Leadership,Boldness/discipline,capital discipline,0
Amazon,2016,Strategic Leadership,Boldness/discipline,capital discipline,0
Amazon,2020,Strategic Leadership,Boldness/discipline,capital discipline,0
Amazon,2021,Strategic Leadership,Boldness/discipline,capital discipline,0
Amazon,2022,Strategic Leadership,Boldness/discipline,capital discipline,0
