theme,subtheme,concept_definition,strict_keywords,aliases,excludes,automatic_count,manual_check_required,likely_noisy_terms
"Purpose, Vision, and Governance",Customer orientation,"Stem-aware lexical evidence of customer orientation within purpose, vision, and governance.","customer, consumer, client, user, experience, convenience","clients, consumers, convenient, conveniently, customers, experienced, experiences, experiencing, users","consumables, consume, consumed, consumes, consuming, consumption, custom, customize, customized, customizes, customizing",stem_match_with_curated_aliases_and_excludes,yes,"leadership, growth, platform, resilience, value, capital"
"Purpose, Vision, and Governance",Shareholder/value orientation,"Stem-aware lexical evidence of shareholder/value orientation within purpose, vision, and governance.","shareholder, stockholder, return, cash flow, value creation, dividend","dividends, returned, returning, returns, shareholders, stockholders",,stem_match_with_curated_aliases_and_excludes,yes,"leadership, growth, platform, resilience, value, capital"
"Purpose, Vision, and Governance",Market/category leadership,"Stem-aware lexical evidence of market/category leadership within purpose, vision, and governance.","leader, market leadership, category leadership, scale, ecosystem","ecosystems, leaders, leadership, scaled, scales, scaling",,stem_match_with_curated_aliases_and_excludes,yes,"leadership, growth, platform, resilience, value, capital"
"Purpose, Vision, and Governance",Mission/purpose/identity,"Stem-aware lexical evidence of mission/purpose/identity within purpose, vision, and governance.","mission, purpose, values, identity, human progress, day one, day 1","identities, missions, purposeful, purposes",,stem_match_with_curated_aliases_and_excludes,yes,"leadership, growth, platform, resilience, value, capital"
"Purpose, Vision, and Governance",Governance/responsibility,"Stem-aware lexical evidence of governance/responsibility within purpose, vision, and governance.","govern, board, oversight, ethic, responsible, lower carbon","boards, ethical, ethically, ethics, governance, governed, governing, responsibilities, responsibility, responsibly","government, governments",stem_match_with_curated_aliases_and_excludes,yes,"leadership, growth, platform, resilience, value, capital"
"Strategic Options, Experimentation, and Choices",Internal invention/R&D,"Stem-aware lexical evidence of internal invention/r&d within strategic options, experimentation, and choices.","invent, research, R&D, develop, engineer, technology","developed, developer, developers, developing, development, developments, engineered, engineering, engineers, invented, inventing, invention, inventions, inventive, researched, researcher, researchers, researching, technological, technologically, technologies","engine, engines, inventories, inventory",stem_match_with_curated_aliases_and_excludes,yes,"leadership, growth, platform, resilience, value, capital"
"Strategic Options, Experimentation, and Choices",Partnerships/ecosystems,"Stem-aware lexical evidence of partnerships/ecosystems within strategic options, experimentation, and choices.","partner, alliance, collaborate, ecosystem, developer","alliances, collaborated, collaborating, collaboration, collaborations, collaborative, developers, ecosystems, partnered, partnering, partners, partnership, partnerships",,stem_match_with_curated_aliases_and_excludes,yes,"leadership, growth, platform, resilience, value, capital"
"Strategic Options, Experimentation, and Choices",Acquisition/integration,"Stem-aware lexical evidence of acquisition/integration within strategic options, experimentation, and choices.","acquire, merger, integrate, divest, portfolio","acquired, acquires, acquiring, acquisition, acquisitions, divested, divesting, divestiture, divestitures, divestment, divestments, integrated, integrating, integration, integrations, merge, merged, mergers, merging, portfolios","integral, integrity",stem_match_with_curated_aliases_and_excludes,yes,"leadership, growth, platform, resilience, value, capital"
"Strategic Options, Experimentation, and Choices",Experiment/pilot/learn,"Stem-aware lexical evidence of experiment/pilot/learn within strategic options, experimentation, and choices.","experiment, pilot, trial, iterate, test, learn","experimental, experimentation, experimented, experimenting, experiments, iterated, iterating, iteration, iterations, iterative, learned, learner, learners, learning, learns, piloted, piloting, pilots, tested, testing, tests, trialed, trialing, trials","experience, experienced, experiences, experiencing",stem_match_with_curated_aliases_and_excludes,yes,"leadership, growth, platform, resilience, value, capital"
"Strategic Options, Experimentation, and Choices",Prioritize/scale/allocate,"Stem-aware lexical evidence of prioritize/scale/allocate within strategic options, experimentation, and choices.","prioritize, allocate, scale, invest, capital, choose","allocated, allocating, allocation, allocations, choice, choices, chooses, choosing, chose, chosen, invested, investing, investment, investments, investor, investors, invests, prioritization, prioritized, prioritizes, prioritizing, scaled, scales, scaling",,stem_match_with_curated_aliases_and_excludes,yes,"leadership, growth, platform, resilience, value, capital"
Agile Execution and Organization,Speed/agility,Stem-aware lexical evidence of speed/agility within agile execution and organization.,"speed, fast, agile, velocity, rapid","agility, faster, fastest, rapidly, speeding, speeds, velocities",rapids,stem_match_with_curated_aliases_and_excludes,yes,"leadership, growth, platform, resilience, value, capital"
Agile Execution and Organization,Resilience/adaptability,Stem-aware lexical evidence of resilience/adaptability within agile execution and organization.,"resilient, adapt, flexible, recover","adaptability, adaptable, adaptation, adapted, adapting, adaptive, adapts, flexibility, flexibly, recoverable, recovered, recoveries, recovering, recovery, resilience, resiliency",,stem_match_with_curated_aliases_and_excludes,yes,"leadership, growth, platform, resilience, value, capital"
Agile Execution and Organization,Operational excellence,Stem-aware lexical evidence of operational excellence within agile execution and organization.,"operational excellence, efficient, reliable, productive, process","efficiencies, efficiency, efficiently, processes, productively, productivity, reliability, reliably","processed, processing, processor, processors, product, production, productions, products",stem_match_with_curated_aliases_and_excludes,yes,"leadership, growth, platform, resilience, value, capital"
Agile Execution and Organization,Talent/capabilities,Stem-aware lexical evidence of talent/capabilities within agile execution and organization.,"talent, people, capability, culture, organization, skill","capabilities, cultural, culturally, cultures, organizational, organizationally, organizations, skilled, skills, talented, talents",,stem_match_with_curated_aliases_and_excludes,yes,"leadership, growth, platform, resilience, value, capital"
Agile Execution and Organization,Infrastructure/scaling,Stem-aware lexical evidence of infrastructure/scaling within agile execution and organization.,"infrastructure, capacity, supply chain, deploy, execute","capacities, deployed, deploying, deployment, deployments, executed, executes, executing, execution, executions, infrastructures","executive, executives",stem_match_with_curated_aliases_and_excludes,yes,"leadership, growth, platform, resilience, value, capital"
