company,year,selected_text_type,document_type,local_text_path,availability_status,evidence_markers,notes
Shell,2015,annual-report CEO/chair section,annual_report_pdf,02_extracted_text/shell/shell_2015_annual_report.txt,Confirmed CEO/shareholder letter available,CEO review section: line 621: SHELL ANNUAL REPORT AND FORM 20-F 2015 CHIEF EXECUTIVE OFFICER’S REVIEW | CEO name: line 700: Ben van Beurden | CEO title: line 701: Chief Executive Officer,"Official annual-report Chair message / Chief Executive Officer review. This is not a separate standalone PDF letter, but it is the official CEO/chair strategic letter section."
Shell,2016,annual-report CEO/chair section,annual_report_pdf,02_extracted_text/shell/shell_2016_annual_report.txt,Confirmed CEO/shareholder letter available,CEO review section: line 15: 07 Chief Executive Officer’s review | CEO name: line 593: Ben van Beurden | CEO title: line 594: Chief Executive Officer,"Official annual-report Chair message / Chief Executive Officer review. This is not a separate standalone PDF letter, but it is the official CEO/chair strategic letter section."
Shell,2020,annual-report CEO/chair section,annual_report_pdf,02_extracted_text/shell/shell_2020_annual_report.txt,Confirmed CEO/shareholder letter available,CEO review section: line 18: 6 Chief Executive Officer’s review | CEO name: line 590: BEN VAN BEURDEN | CEO title: line 591: Chief Executive Officer,"Official annual-report Chair message / Chief Executive Officer review. This is not a separate standalone PDF letter, but it is the official CEO/chair strategic letter section."
Shell,2022,annual-report CEO/chair section,annual_report_pdf,02_extracted_text/shell/shell_2022_annual_report.txt,Confirmed CEO/shareholder letter available,CEO review section: line 17: 4 Chief Executive Officer's review | CEO name: line 678: Wael Sawan | CEO title: line 679: Chief Executive Officer,"Official annual-report Chair message / Chief Executive Officer review. This is not a separate standalone PDF letter, but it is the official CEO/chair strategic letter section."
Shell,2024,annual-report CEO/chair section,annual_report_pdf,02_extracted_text/shell/shell_2024_annual_report.txt,Confirmed CEO/shareholder letter available,CEO review section: line 29: 4 Chief Executive Officer's review | CEO name: line 594: Wael Sawan | CEO title: line 595: Chief Executive Officer,"Official annual-report Chair message / Chief Executive Officer review. This is not a separate standalone PDF letter, but it is the official CEO/chair strategic letter section."
Shell,2025,annual-report CEO/chair section,annual_report_pdf,02_extracted_text/shell/shell_2025_annual_report.txt,Confirmed CEO/shareholder letter available,CEO review section: line 10: 4 Chief Executive Officer's review | CEO name: line 614: Wael Sawan | CEO title: line 615: Chief Executive Officer,"Official annual-report Chair message / Chief Executive Officer review. This is not a separate standalone PDF letter, but it is the official CEO/chair strategic letter section."
Chevron,2013,annual-report stockholder letter,annual_report_pdf,02_extracted_text/chevron/chevron_2013_annual_report.txt,Confirmed CEO/shareholder letter available,stockholder letter heading: line 94: To Our Stockholders | CEO signature: line 200: John S. Watson | CEO title: lines 201-202: Chairman of the Board and Chief Executive Officer,"Official annual-report To our stockholders letter, signed by Chairman/CEO."
Chevron,2018,annual-report stockholder letter,annual_report_pdf,02_extracted_text/chevron/chevron_2018_annual_report.txt,Confirmed CEO/shareholder letter available,stockholder letter heading: line 124: to our stockholders | CEO signature: line 319: Michael K. Wirth | CEO title: line 320: Chairman of the Board and Chief Executive Officer,"Official annual-report To our stockholders letter, signed by Chairman/CEO."
Chevron,2020,annual-report stockholder letter,annual_report_pdf,02_extracted_text/chevron/chevron_2020_annual_report.txt,Confirmed CEO/shareholder letter available,stockholder letter heading: line 151: To our stockholders: | CEO signature: line 366: Michael K. Wirth | CEO title: line 367: Chairman of the Board and Chief Executive Ofcer,"Official annual-report To our stockholders letter, signed by Chairman/CEO."
Chevron,2021,annual-report stockholder letter,annual_report_pdf,02_extracted_text/chevron/chevron_2021_annual_report.txt,Confirmed CEO/shareholder letter available,stockholder letter heading: line 51: to our stockholders IV | CEO signature: line 350: Michael K. Wirth | CEO title: line 352: and Chief Executive Officer,"Official annual-report To our stockholders letter, signed by Chairman/CEO."
Chevron,2022,annual-report stockholder letter,annual_report_pdf,02_extracted_text/chevron/chevron_2022_annual_report.txt,Confirmed CEO/shareholder letter available,stockholder letter heading: line 83: to our stockholders | CEO signature: line 286: Michael K. Wirth | CEO title: line 288: and Chief Executive Officer,"Official annual-report To our stockholders letter, signed by Chairman/CEO."
Chevron,2023,annual-report stockholder letter,annual_report_pdf,02_extracted_text/chevron/chevron_2023_annual_report.txt,Confirmed CEO/shareholder letter available,stockholder letter heading: line 100: to our stockholders | CEO signature: line 255: Michael K. Wirth | CEO title: line 257: and Chief Executive Officer,"Official annual-report To our stockholders letter, signed by Chairman/CEO."
Chevron,2024,annual-report stockholder letter,annual_report_pdf,02_extracted_text/chevron/chevron_2024_annual_report.txt,Confirmed CEO/shareholder letter available,stockholder letter heading: line 110: to our stockholders | CEO signature: line 300: Michael K. Wirth | CEO title: line 302: and Chief Executive Officer,"Official annual-report To our stockholders letter, signed by Chairman/CEO."
